route	methods	auth_check	cron_check	sig_check
faq/[id]/route.ts	DELETE,PUT	yes	-	-
time-off/conflicts/route.ts	GET	yes	-	-
time-off/[id]/route.ts	DELETE,PATCH	yes	-	-
weekly-plans/tasks/route.ts	GET,PATCH,POST	yes	-	-
weekly-plans/ai-suggest/route.ts	POST	yes	-	-
project-notes/[id]/route.ts	DELETE,PATCH	yes	-	-
runway/settings/route.ts	GET,POST	yes	-	-
runway/calculate/route.ts	POST	yes	-	-
runway/advice/route.ts	POST	yes	-	-
runway/income-data/route.ts	GET	yes	-	-
standups/generate/route.ts	POST	yes	-	-
standups/[id]/route.ts	DELETE,PUT	yes	-	-
comm-log/clients/route.ts	GET	yes	-	-
comm-log/[id]/route.ts	DELETE,PATCH	yes	-	-
risk-register/projects/route.ts	GET	yes	-	-
risk-register/mitigate/route.ts	POST	yes	-	-
risk-register/[id]/route.ts	DELETE,PATCH	yes	-	-
referrals/thank-you/route.ts	POST	yes	-	-
referrals/contacts/route.ts	GET,POST	yes	-	-
referrals/[id]/route.ts	DELETE,PATCH	yes	-	-
referrals/stats/route.ts	GET	yes	-	-
referrals/analytics/route.ts	GET	yes	-	-
communication-logs/summarize/route.ts	POST	yes	-	-
communication-logs/[id]/route.ts	DELETE,PATCH,PUT	yes	-	-
learning/recommend/route.ts	POST	yes	-	-
learning/[id]/route.ts	DELETE,PATCH	yes	-	-
learning/stats/route.ts	GET	yes	-	-
expenses/context/route.ts	GET	yes	-	-
quotes/respond/route.ts	POST	-	-	-
quotes/estimate/route.ts	POST	yes	-	-
quotes/items/route.ts	GET	yes	-	-
quotes/[id]/route.ts	DELETE,GET,PUT	yes	-	-
quotes/send/route.ts	POST	yes	-	-
lemonsqueezy/webhook/route.ts	POST	-	-	yes
lemonsqueezy/checkout/route.ts	POST	yes	-	-
risk-assessments/analyze/route.ts	POST	yes	-	-
risk-assessments/[id]/route.ts	DELETE,GET	yes	-	-
work-location/tax-summary/route.ts	GET	yes	-	-
email-templates/fill/route.ts	POST	yes	-	-
email-templates/generate/route.ts	POST	yes	-	-
email-templates/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
contract-template-lib/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
weekly-review/history/route.ts	GET	yes	-	-
weekly-review/generate/route.ts	POST	yes	-	-
weekly-review/save/route.ts	POST	yes	-	-
weekly-review/data/route.ts	GET	yes	-	-
brief-scores/analyze/route.ts	POST	yes	-	-
booking/appointments/route.ts	DELETE,GET	yes	-	-
booking/create/route.ts	POST	-	-	-
booking/slots/route.ts	GET	yes	-	-
estimates/next-number/route.ts	GET	yes	-	-
estimates/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
scope-changes/change-order/route.ts	POST	yes	-	-
scope-changes/generate-request/route.ts	POST	yes	-	-
scope-changes/generate/route.ts	POST	yes	-	-
scope-changes/[id]/route.ts	DELETE,PATCH	yes	-	-
scope-changes/stats/route.ts	GET	yes	-	-
installments/upcoming/route.ts	GET	yes	-	-
cashflow/[id]/route.ts	DELETE,PATCH	yes	-	-
tax-estimator/profile/route.ts	GET,POST	yes	-	-
work-rhythm/analyze/route.ts	POST	yes	-	-
intake-forms/generate-questions/route.ts	POST	yes	-	-
intake-forms/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
user/settings/route.ts	GET,PATCH	yes	-	-
user/locale/route.ts	POST	yes	-	-
client-ltv/[clientId]/route.ts	GET	yes	-	-
revenue-forecast/narrative/route.ts	POST	yes	-	-
revenue-forecast/proposal/route.ts	GET	yes	-	-
client-portals/[id]/route.ts	DELETE,GET,PUT	yes	-	-
tax-estimates/compute/route.ts	POST	yes	-	-
tax-estimates/[id]/route.ts	DELETE,PUT	yes	-	-
ltv-predictions/analyze/route.ts	POST	yes	-	-
invoice-installments/[id]/route.ts	DELETE,PATCH	yes	-	-
project-risks/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
nps/respond/route.ts	POST	-	-	-
nps/create/route.ts	POST	yes	-	-
nps/stats/route.ts	GET	yes	-	-
nps/analytics/route.ts	GET	yes	-	-
rate-increase/generate/route.ts	POST	yes	-	-
status-pages/generate-update/route.ts	POST	yes	-	-
status-pages/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
contract-breaches/generate-notice/route.ts	POST	yes	-	-
contract-breaches/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
pricing-strategy/analyze/route.ts	POST	yes	-	-
communication-log/clients/route.ts	GET	yes	-	-
communication-log/follow-ups/route.ts	GET	yes	-	-
communication-log/[id]/route.ts	DELETE,PATCH	yes	-	-
communication-log/draft-reply/route.ts	POST	yes	-	-
communication-log/relationship-health/route.ts	POST	yes	-	-
milestone-billing/milestones/route.ts	GET,PATCH	yes	-	-
milestone-billing/[id]/route.ts	DELETE,GET,PUT	yes	-	-
recurring-invoices/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
case-studies/generate-structured/route.ts	POST	yes	-	-
case-studies/generate/route.ts	POST	yes	-	-
case-studies/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
subscriptions/audit/route.ts	POST	yes	-	-
subscriptions/[id]/route.ts	DELETE,PATCH,PUT	yes	-	-
tags/[id]/route.ts	DELETE,PATCH	yes	-	-
invoice-disputes/generate/route.ts	POST	yes	-	-
growth-roadmap/generate/route.ts	POST	yes	-	-
growth-roadmap/[id]/route.ts	DELETE,GET	yes	-	-
work-journal/[date]/route.ts	DELETE,GET,PATCH	yes	-	-
intake/[slug]/route.ts	GET,POST	-	-	-
intake/convert/route.ts	POST	yes	-	-
client-risk/[id]/route.ts	PATCH	yes	-	-
capacity/projects/route.ts	GET	yes	-	-
service-pages/generate-content/route.ts	POST	yes	-	-
service-pages/[id]/route.ts	DELETE,GET,PATCH,PUT	yes	-	-
dashboard/command-center/route.ts	GET	yes	-	-
kb/generate/route.ts	POST	yes	-	-
risk-analyzer/recommend/route.ts	POST	yes	-	-
portfolio-site/contact/route.ts	POST	-	-	-
portfolio-site/submissions/route.ts	GET	yes	-	-
invoices/bulk/route.ts	DELETE,PATCH	yes	-	-
invoices/installments/route.ts	GET,PATCH,POST	yes	-	-
invoices/disputes/route.ts	GET,POST	yes	-	-
invoices/quick/route.ts	POST	yes	-	-
invoices/generate-from-time/route.ts	POST	yes	-	-
invoices/late-fee-summary/route.ts	GET	yes	-	-
invoices/status/route.ts	POST	yes	-	-
invoices/late-fees/route.ts	GET	yes	-	-
invoices/next-number/route.ts	GET,POST	yes	-	-
invoices/bulk-export/route.ts	POST	yes	-	-
invoices/send-reminder/route.ts	POST	yes	-	-
invoices/reminder-history/route.ts	GET	yes	-	-
invoices/suggestions/route.ts	GET	yes	-	-
invoices/escalation/route.ts	GET	yes	-	-
invoices/export/route.ts	GET	yes	-	-
invoices/[id]/route.ts	DELETE,GET,PATCH	yes	-	-
invoices/collections/route.ts	GET	yes	-	-
invoices/reminder-settings/route.ts	GET,POST	yes	-	-
invoices/overdue/route.ts	GET,POST	yes	yes	-
invoices/reminder-monitoring/route.ts	GET	yes	-	-
invoices/aging/route.ts	GET	yes	-	-
goals/progress/route.ts	GET	yes	-	-
